2026-02-23T19:12:01+0800 | actor=marvin | action=test_action | details=smoke_test=true
2026-02-23T19:12:01+0800 | actor=marvin | action=security_review_start | details=script=security-review.sh timestamp=2026-02-23 19:12:01
2026-02-23T19:12:01+0800 | actor=marvin | action=security_review_prepared | details=script=security-review.sh report=/data/.openclaw/workspace/memory/security/latest_review.md
2026-02-24T14:17:17+0800 | actor=marvin | action=security_review_start | details=script=security-review.sh timestamp=2026-02-24 14:17:17
2026-02-24T14:17:18+0800 | actor=marvin | action=security_review_prepared | details=script=security-review.sh report=/data/.openclaw/workspace/memory/security/latest_review.md
2026-02-24T20:27:53+0800 | actor=marvin | action=security_review | details=script=cron:nightly-security-review report=memory/security/2026-02-24-security-review.md findings=29 critical=5 high=7

# NOTE: Backup is handled via VPS snapshots (external), not via backup-workspace.sh
# VPS snapshots provide off-host backup coverage
# Last manual snapshot: configured via Hostinger control panel
2026-03-10T15:33:33+0800 | actor=system | action=sensitive_snapshot_init | target= | status=ok | details=Initialized sensitive file baseline
2026-03-18T13:00:13+0800 | actor=system | action=sensitive_file_changed | target=/data/.openclaw/openclaw.json | status=ok | details=Detected change in sensitive file
2026-03-18T13:00:13+0800 | actor=system | action=sensitive_file_changed | target=/data/.openclaw/workspace/openclaw.json | status=ok | details=Detected change in sensitive file
2026-03-18T13:00:13+0800 | actor=system | action=sensitive_file_changed | target=/data/.openclaw/workspace/memory/cron-context.json | status=ok | details=Detected change in sensitive file
2026-03-18T13:00:13+0800 | actor=system | action=sensitive_file_changed | target=/data/.openclaw/workspace/projects/autonomous-trading-bot/.env | status=ok | details=Detected change in sensitive file
2026-03-22T04:15:03+0800 | actor=system | action=sensitive_file_changed | target=/data/.openclaw/openclaw.json | status=ok | details=Detected change in sensitive file
2026-03-22T04:15:03+0800 | actor=system | action=sensitive_file_changed | target=/data/.openclaw/workspace/memory/cron-context.json | status=ok | details=Detected change in sensitive file
2026-03-29T04:15:15+0800 | actor=system | action=sensitive_file_changed | target=/data/.openclaw/openclaw.json | status=ok | details=Detected change in sensitive file
2026-03-29T04:15:15+0800 | actor=system | action=sensitive_file_changed | target=/data/.openclaw/workspace/memory/cron-context.json | status=ok | details=Detected change in sensitive file
